Id,OwnerId,FromId,Date,Text,CommentsCount,LikesCount,RepostsCount,ViewsCount
88,-217635252,-217635252,11/11/2023 20:57:38,"💥 15 ноября 2023 г. состоится III Научно-методический семинар «Финансовая грамотность и методика преподавания экономики», организованный Институтом экономики и управления РГПУ им А.И. Герцена при поддержке Центра финансовой грамотности (финансовая клиника) СПбГУ. Семинар пройдет в формате обмена опытом между преподавателями и студентами. Преподаватели вузов и колледжей и обучающиеся старших курсов ИЭиУ РГПУ им. А.И. Герцена поделятся методиками преподавания финансовой грамотности и экономики с будущими педагогами младших курсов. Мероприятие будет полезно всем, кто интересуется вопросами преподавания экономических дисциплин. 
 
Место проведения семинара: Точка кипения РГПУ им. А.И. Герцена, зал «Коменский» (Санкт-Петербург, наб. р. Мойки, 54). Вход с территории Герценовского университета. Начало семинара в 17.30",0,19,12,726
580,96434716,96434716,11/11/2023 20:52:34,"К лингвистическим заметкам: ""Убираться? Ну и убирайся!""
 
Действительно, по мнению большинства наивных носителей, роль (т.н. «главная задача») лингвиста заключается именно в том, чтобы «исправлять досадные ошибки» в устной речи говорящих. Все, в чем нас убеждали на лекциях профессора, о которых сейчас с теплотой вспоминаю, оказалось сущей правдой. 
 
10.11.23, пт 
Дождливое утро. Поездка на автобусе. На Адмиралтейской в салон в последний момент забегает пожилой мужчина – истинный, стереотипный петербуржец, в сером пальто, аккуратно выглаженных штанах и со старомодным портфельчиком в руках. Дело в том, что водитель уже собирался уезжать, но специально для запоздавшего подольше оставил двери открытыми. При входе в автобус мужчина подошел к водительской кабинке и, к моему удивлению, вежливо произнес: «Благодарю Вас». «Ну», - думаю, - «Не иначе, как наш, здешний. Еще и профессор, поди. Любопытно было бы с ним поговорить». Прошу заметить, что рассказчик сей истории – интроверт, и просто так заводить беседы никогда не решается первым. Беседа, однако, состоялась. 
Когда мы подъехали к Дворцовой площади, джентльмен (это НЕ ирония! очень даже джентльмен, дорогой читатель: позволь мне его так назвать), слегка откашлявшись, спросил что-то вроде «Давно ли такие пробки в районе?». Я не расслышала вопроса и заявила, что автобус едет прямо, не поворачивая (интроверт и раззява – он и в Африке интроверт и раззява). 
- Нет, Вы меня не поняли. Это только сегодня такие заторы на дорогах? 
- Ааа… Нет, в последнее время вообще часто транспортные коллапсы случаются. 
- Что, извините? 
- Говорю, большие пробки везде, да, да. Вот я живу в Невском районе, и там… 
- Но я – житель Адмиралтейского района, - перебил мужчина, - и никогда раньше такого не было. Что ж, ладно. 
Неловкая пауза и взгляд (выгляд? загляд?) в окно. 
- Куда едете? – продолжил разговор джентльмен. 
- В Санкт-Петербургский государственный университет (звучит неестественно, да? любимая заученная мною фраза!). Я студент. 
- Ааа, - старик многозначительно покачал головой, - хорошо, хорошо. А я – преподаватель в Военной Академии (бинго! угадала, конечно же). СПбГУ… Знаю, знаю. Вы на каком факультете учитесь? 
- На филологическом. 
- Здорово! Был там, очень понравился ваш университетский дворик, бюстики писателей такие там, знаете ли… (приятная улыбка). Да. Литературу очень люблю. Так Вам от Дворцовой ближе, не так ли? 
-Аа, не. Я засекала время, выяснила, что мне от Биржевой площади удобнее идти. 
-Ясно. Но вот скажите еще: вопрос по поводу языка. Откуда, например, взялось это ужасное слово «убираться»? Что значит – «убираться»? Как это так? Делать уборку ведь! Даже в фильмах и по телевидению слышу его часто. Беспредел! Скажем, «Убираться?! Ну и убирайся!» (в смысле «Пошел вон!») (все было произнесено спокойным, ровным тоном северянина, но в то же время с некоторой долей возмущения). Это нужно исправить; надеюсь, вы этим и займетесь. 
- Но, знаете, - ответила с наивной улыбкой на милом личике, - нас, честно говоря, учили больше наблюдать за языковыми фактами, нежели кого-то исправлять… 
- Нет, это досадное недоразумение необходимо устранить. Вот я своих студентов всегда исправляю. Ваша, значит, главная задача на филологическом факультете – очистить язык от этих неприемлемых слов. 
Я не стала спорить: сидела и растягивала рот до ушей в ожидании своей остановки. На Биржевой вышла, кивнув профессору на прощание.",9,24,2,508
3126,194186758,194186758,11/11/2023 20:13:25,"Мрачная Сергиевка

На самом деле из всех парков Петергофа - Сергиевка, на мой взгляд, самый мрачный. Гнетущая какая-то атмосфера там. И летом, в том числе. И примыкающие к парку лаборатории СПБГУ  просто страшенные. По виду - там с покойниками ведут эксперименты в духе Реаниматора, а не занимаются растениями... 
В этот раз я попал случайно туда, я ошибся автобусом, хотел в Ораниенбаум. Ну, что делать, гулял там. К каменной башке даже не подходил - чего ее снимать - во-первых было, во-вторых не интересно.",0,5,0,142
171067,-155688991,-155688991,11/11/2023 20:00:00,"КАКИЕ ГАЗЕТЫ И ЖУРНАЛЫ ИЗДАВАЛИ БУДУЩИЕ ДЕКАБРИСТЫ — 2

[https://vk.com/wall-155688991_170979|часть первая]

Особенно много пишут об Отечественной войне. Мол, с полководцами России, конечно, повезло, но и о подвиге простого народа забывать нельзя. Педалируют тему не просто так, а чтобы обосновать, почему как раньше быть уже не может. Солдат и самих это волновало: Россию спасли, вся Европа рукоплещет своим освободителям — а дома ничего не поменялось. 
 
Герои вернулись и превратились обратно в мужиков, у которых нет ничего своего, потому что они и сами себе не принадлежат, барин с ними может сделать любую дичь — продать, подарить широким жестом, запороть до смерти на конюшне. И ничего ему не будет. Как так? Не пора ли что-то поменять? 
 
Александр I своей политикой убедительно продемонстрировал: никаких поблажек не будет, за выигранную войну спасибо, но пусть крепостные остаются крепостными. 
И народ начинает бунтовать. За двенадцать лет, с 1813 по 1825 год, историки насчитали 540 восстаний. Для сравнения: с начала XIX века и до Отечественной войны их было меньше двухсот. 
 
Что до литературы, ее декабристы много и разнообразно критикуют. Им не нравится, что отечественные авторы подражают зарубежным вместо того, чтобы прокачивать самобытность. Сентиментализм тоже приходится не по вкусу. 
 
Друг Пушкина по лицею Вильгельм Кюхельбекер напишет в статье: «Туманы над водами, туманы над бором, туманы над полями, туман в голове сочинителя». Мол, хватит уже тосковать о погибшей молодости и томно вздыхать под луной (унылой и бледной, как вы все ее описываете). Время требует высокого гражданского пафоса. Какое время? Ну-у-у… 
 
Исследователи делят издания, связанные с декабристами, на две группы. В одних они были только авторами, другие учредили сами. И был еще презанятный журнал, который в этой классификации ни там, ни тут: им совместно владели пылкий оппозиционер и человек, максимально далекий от какого-либо протеста. О нем тоже обязательно расскажу, но позже. Начнем всё-таки с тех, где декабристы просто печатались. 
 
Когда я училась в вузе, на экзамене, если выпал билет про журналистскую деятельность декабристов, достаточно было сказать: они много писали для «Сына Отечества». И преподаватель убеждался, что базовую информацию о периоде студент усвоил. 
 
«Сын Отечества» — это журнал, основанный в 1812 году Николаем Гречем. (Перечитывала университетские конспекты и заметила, что однажды по ошибке обозвала его Гречей. Ну да, такой вариант у студента вызывает больше ассоциаций.) 
Кто такой Греч? Петербуржец, дворянин, филолог, педагог. По данным энциклопедического словаря Брокгауза и Ефрона, фамилию унаследовал от деда — выходца из Пруссии. В молодости особой известностью не отличался: перевел несколько книг, некоторое время преподавал русский язык в школе при лютеранском приходе, даже успел послужить в цензурном комитете. Это всё до двадцати пяти лет.
А потом решил попробовать себя в медиасфере и начал издавать еженедельный журнал. Изначальная цель — настроить широкую общественность против Наполеона, пишет Краткая литературная энциклопедия. На воплощение этого благого замысла Греч даже получил субсидию в размере тысячи рублей. 
 
Декабристы начали сотрудничать с «Сыном Отечества» в 1816 году. С их появлением редакция стала состоять из двух блоков: умеренные либералы (главный из которых — сам Греч) и оппозиционеры в лице будущих декабристов — это Рылеев, Бестужев с братьями, лицейский дружочек Пушкина Кюхельбекер, Глинка (да, родственник композитора), Мартос. 
 
Из друзей декабристов в «Сыне Отечества» публикуются Жуковский, Дельвиг, Пушкин — куда без Пушкина, Грибоедов, Вяземский, Куницын. Последний слегка перегнул с либеральностью: это после его статьи «О состоянии иностранных крестьян» цензура запретила писать что-либо о вольности или рабстве каких бы то ни было крестьян — что российских, что зарубежных. 
 
Тираж достигает 1200 экземпляров и быстро расходится, Греч делает допечатки. По тем временам — суперуспешное издание. Другому журналу, для которого пишут декабристы и Ко, до таких показателей пилить и пилить. Тиражи «Соревнователя просвещения и благотворения» колеблются от 300 до 500 экземпляров. 
 
Название сейчас кажется странноватым, но вообще-то имеется в виду всего-навсего человек, который стремится распространять знания и помогать бедным. Доходы от журнала тратились на поддержку нуждающихся ученых, студентов и литераторов. 
Елена Сонина из СПбГУ говорила на лекции, что редакцию сильно штормило: когда декабристы теряли влияние, «Соревнователь» чуть ли не доносы на них публиковал. Да и в остальное время гражданская позиция выражалась неярко, рассуждений о необходимости конституционных преобразований не было. 

Зато в «Невском зрителе» Рылеев опубликовал очень хлесткую поэтизированную сатиру на Аракчеева, и ничего ему за это не было. Почему? Говорят, Аракчеев так и не смог признать, что это он лирический герой. 
Произведение называется «К временщику». Очень длинное, поэтому целиком копировать не буду, разумеется. Но вот как оно начинается:
Надменный временщик, и подлый и коварный, 
Монарха хитрый льстец и друг неблагодарный, 
Неистовый тиран родной страны своей, 
Взнесенный в важный сан пронырствами злодей! 
 
И дальше в таком же духе сорок с лишним строк. Некоторые исследователи высказывают версию, что Рылеев, издатель «Невского зрителя» и цензор, который позволил такое напечатать, остались безнаказанными по одной простой причине: «прожарка» Аракчеева — политический заказ другого влиятельного господина. Им якобы был князь Голицын, тогдашний министр народного просвещения. 
 
Черт его знает, как оно на самом деле. Даже если и были у Рылеева могущественные покровители, от виселицы они его не спасли. 
 
Забавная, должно быть, была парочка. Князь Владимир Одоевский, родня Рюриковичей, романтик, фанатик просвещения, ученый, блистательный музыкант, слова не сказавший против режима, — и долговязый растяпа Кюхельбекер, «бедный Кюхля», убежденный в необходимости свержения строя. Причем центральная роль в этом журналистском союзе была как раз у Вильгельма Карловича. 
 
Союз получился плодотворным.
Журнал, названный в честь древнегреческой богини памяти «Мнемозиной», пользовался популярностью: читатели раскупили сначала 600, а потом и 1200 экземпляров. Да, в первой половине XIX века издание с таким тиражом считалось популярным. 
Что писали? Думаю, понятно из названий отделов, а было их семь: «Философия», «Военная история», «Изящная проза», «Стихотворения», «Путешествия», «Критика и антикритика», «Смесь». 
 
Всего вышло три книжки. А потом Кюхельбекер «Мнемозину» забросил — сосредоточился на другом издании. 
 
Вообще-то Бестужев хотел издавать литературный журнал. Подал прошение в конце 1818 года, но цензурное ведомство его отклонило. 
 
Учебник для студентов-журналистов под редакцией профессора Александра Западова приводит такие причины отказа: 1) слишком юный для издателя возраст — Бестужеву едва исполнилось двадцать лет; 2) недостаточная известность среди ученых; 3) три стилистические неточности, допущенные в тексте. 
 
На самом деле это всё, как говорится, отмазки. Просто Бестужев перевел для «Сына Отечества» главу из зарубежной книги, в которой автор повествовал о тяжелом положении русских крепостных. Дело не в том, что Бестужев — малограмотный ноунейм. Он вольнодумец, и это куда хуже. 
 
Вечный соратник Бестужева Рылеев понимает, что ему тогда даже не стоит и пытаться выбить право на журнал. И товарищи решают издавать альманах — литературный ежегодник. 
 
Формат у их детища крохотный: двенадцатая доля бумажного листа, меньше половины тетрадной страницы. На обложке название — «Полярная звезда» — и подпись: «карманная книжечка для любителей и любительниц отечественной словесности». Не политики, упаси боже. При чем тут вообще политика? 
 
Всего выйдет три книжки — в 1823, 1824 и 1825 годах. Рылеев везде редактирует отдел поэзии, Бестужев занимается прозой и прозаиками, материалы пишут оба. 
 
Именно «Полярная звезда» станет вершиной декабристской журналистики. А еще во многом благодаря ей обозрение литературы прочно займет место в списке жанров. 
Тираж первой книжки — 600 экземпляров. Она начинается со статьи Бестужева «Взгляд на старую и новую словесность в России». Там он рассматривает самые известные произведения отечественных авторов — от «Слова о полку Игореве» до современных ему Крылова и Пушкина. Вывод такой: развитие литературы тесно связано с социальным развитием. Кажется, что литература испортилась — давайте поглядим, как там у общества дела. Что в этом особенного? Для XXI века — ничего, но тогда статья вполне могла считаться новаторской и даже в какой-то мере провокационной. 
 
Вторая книжка проходит цензуру в декабре 1823 года, пишет Западов. Рылеев к тому времени уже состоит в Северном обществе, Бестужев готовится пополнить ряды. Оба окончательно определились со взглядами. Титульная статья Бестужева называется «Взгляд на русскую словесность в течение 1823 года». Главный тезис: расцвет литературы возможен только при подъеме общественной жизни, при существовании политических интересов. Сейчас общество бездействует, поэтому и литература переживает кризис. 
 
Семь стихотворений присылает Пушкин, Жуковский для альманаха переводит «Орлеанскую деву» Шиллера и «Энеиду» Вергилия — произведения о борьбе за свободу. 
 
Успех оглушительный. Полторы тысячи экземпляров читатели раскупают за три недели. Денег столько, что издатели не просто покрывают издержки — получают прибыль. До «Полярной звезды» журналистика была убыточной. Считалось, что издавать прессу нужно для выражения идей, а не ради заработка. 
 
К моменту выхода третьей книжки Рылеев и Бестужев уже руководят Северным обществом и готовятся к восстанию. Поэтому «Полярная звезда» № 3 всей собой призывает к революции. 
 
На первых страницах — традиционная статья Бестужева. Главный тезис: у нас нет настоящей литературы, потому что нет настоящей жизни общества. Так говорил Карамзин, так будут говорить и позже. 
Бестужев разбирает литературные произведения 1824–1825 годов и оценивает, были ли они полезны для общества. «Разбойники» Языкова и «Братья разбойники» Пушкина — да, потому что главные герои свободны и живут как им нравится, не оглядываясь на мнение других. 
 
А вот над «Евгением Онегиным», считает Бестужев, Александру Сергеевичу еще нужно поработать: Онегин — человек умный и талантливый, но светский. Равнодушный к судьбе Отечества. 
 
После обозрения напечатан отрывок из пушкинских «Цыган». Вновь тема свободолюбия. 
 
Рылеев публикует отрывок из своей поэмы «Наливайко». Главный герой поднял вооруженное восстание, убил многих и погиб сам. Кто-то всегда платит кровью за свободу, как бы говорит Рылеев. Но ничего страшного — зато те, кому повезет, станут жить лучше. 
 
После продажи тиража издатели даже могут заплатить авторам гонорары. Первыми в отечественной журналистике. Да, ребята пришли к успеху. 
 
У Рылеева и Бестужева остаются материалы, которые не напечатали ни в одной из книжек «Полярной звезды», и немного времени. Они решают выпустить вдогонку маленький альманах — «Звездочку». 
 
Увы, на небосклоне российской журналистики «Звездочка» не появится. После событий на Сенатской площади тираж изымут и присовокупят к другим бумагам Рылеева и Бестужева в качестве вещдоков. Почти всё сожгут, каким-то чудом уцелеет лишь пара экземпляров. 
 
А дальше… мы знаем, что будет дальше. Пятерых отправят на казнь, остальных — на каторгу и в ссылку. Зато не всем известно, что «Полярная звезда» не погасла навсегда — в 1855 году в Лондоне начнет выходить альманах с таким названием. Как там говорил Владимир Ильич? Декабристы разбудили Герцена.

Д. Аскерова",0,6,3,412
1057,-50618347,-50618347,11/11/2023 19:36:15,"Поздравляем наших парней с победой! 

СПбГУ сегодня на высоте ✨🥰

#волейбол_спбгу #СПбГУ #матч",1,43,2,1446
18823,-214331369,-214331369,11/11/2023 19:21:26,"Председатель Следственного комитета РФ доктор юридических наук, профессор Александр Иванович Бастрыкин выступил перед студентами Санкт-Петербургского государственного университета в рамках элективного курса «Розыск. Дознание. Следствие».",0,0,0,5
2331,4305401,4305401,11/11/2023 19:18:32,"ДЕНЬ РОЖДЕНИЯ Ф.М. ДОСТОЕВСКОГО...

Его гениальность и захватывающий дух масштаб - мне удалось ощутить в те самые 17 лет, когда в выпускном классе школы проходят ""Преступление и наказание"".
Ни глубокого ума, ни жизненного опыта, ни приличного образования - ничего этого у меня в 17 лет не было (нет, пожалуй, и в 50, разве что - опыт :).
Была только какая-то ""чуйка"", какой-то ""сяжка-ус"" души, заставлявший с трудом (а иногда - с восторгом) вчитываться в этот непростой для школьника текст.
Забавно, но память бережно сохранила темы сочинений, которые я писала по Достоевскому. В школе - ""Самый интересный герой романа ""Преступление и наказание"" (выбрала Свидригайлова, на что наша литераторша Наталья Роальдовна подняла бровь и усмехнулась). На вступительных экзаменах в Университет - ""Почему мы имеем право назвать Достоевского величайшим писателем-гуманистом"".
Что я там понаписала в плане содержания - память решила не сохранять. ))
В СПбГУ (как я узнала позже), учитывая высокий конкурс на истфак, был негласный приказ, как можно больше претендентов отсеять на сочинении. 
Я получила 4 и рыдала, заламывая руки, вполне в духе юных гордячек романов Федора Михалыча.
Позже, помогая разбирать бумаги в деканате, я свое сочинение нашла и прочитала. В нем была одна лишняя запятая (слово ""однако"" выделено как вводное, а оно таковым не являлось) и ""Порфирий Петрович"" я почему-то однажды написала с маленькой буквы (от волнения, не иначе).
Так что к экзаменационной комиссии претензий нет, все справедливо.
Да и баллов для поступления в итоге - хватило.
Спасибо, Федор Михайлович! Вы - пища, на которой живут, растут, поступают, защищают диссертации, утверждают политические платформы, снимают фильмы - до скончания века.
В студенческие годы же был ""захлеб"" - Карамазовыми, Идиотом, Бесами.
Электронных книг в нашей молодости не было. Помню, ехала в метро и читала внушительный том ""Бесов"" в коричневой обложке с названием, тисненым большими золотыми буквами. Мне было до такой степени смешно (на мой вкус, юмор Достоевского - великолепен!), что я просто давилась от смеха. Стоявший предо мной человек с недоумением переводил взгляд от моей ржущей физиономии к названию книги и обратно.
А мой друг Саша Б. тогда же заявлял, что он запретил бы читать Достоевского людям, моложе 18 лет, т.к. ""это деформирует личность, которая в таком возрасте не готова выдержать откровений, которые на нее обрушивает Достоевский"".
Был спор.
Но, отойдя от адских глубин человеческой природы и пророческих прозрений ""Великого инквизитора"" - к ""кадрили литературы"" и пьесе папы Верховенского - мы примирились.
""Сцена открывается хором женщин, потом хором мужчин, потом каких-то сил, и в конце всего хором душ, еще не живших, но которым очень бы хотелось пожить. Все эти хоры поют о чем-то очень неопределенном, большею частию о чьем-то проклятии, но с оттенком высшего юмора. Но сцена вдруг переменяется, и наступает какой-то «Праздник жизни», на котором поют даже насекомые, является черепаха с какими-то латинскими сакраментальными словами, и даже, если припомню, пропел о чем-то один минерал, то есть предмет уже вовсе неодушевленный. Вообще же все поют беспрерывно, а если разговаривают, то как-то неопределенно бранятся, но опять-таки с оттенком высшего значения"". 

Сегодня в Лавре у могилы Федора Михайловича даже к вечеру было много людей. В подавляющем большинстве - молодежи. Девушка с голубыми волосами и серьгой в носу принесла белые цветы, а два интеллигентных юноши тихонечко читали литию.
Испытала чувство глубокого удовлетворения.
Мой ироничный муж заметил, что фраза Достоевского о себе: «Я человек счастливый, но кое-чем недовольный,» - очень подходит и к моему мироощущению.
Пожалуй, готова согласиться.

Хотя в последние годы доминирует все же другое (из ""Бесов"" опять же):

""Это маленькое словечко «почему» разлито во всей вселенной с самого первого дня миросоздания, сударыня, и вся природа ежеминутно кричит своему Творцу: «Почему?» – и вот уже семь тысяч лет не получает ответа""...",0,168,10,1443
1703,45520913,45520913,11/11/2023 19:15:04,"11 ноября 2023 прошла третья встреча нашего дискуссионного клуба ""Диалоги о праве"". Никого из участников не оставила равнодушным тема встречи ""Работа защитника и психолога в уголовных делах против женщин, подвергавшихся домашнему насилию и обвиняемых в убийстве своих партнёров. Заключение специалиста-психолога, как важный инструмент стороны защиты на стадии следствия и в суде. На какие вопросы отвечает специалист. Допрос специалиста в суде"". Своим опытом с нами поделились Ходырева Наталия Валериевна кандидат психологических наук, старший преподаватель кафедры психологии здоровья и отклоняющегося поведения факультета психологии СПбГУ и наша коллега - Карачёва Ольга, адвокат Адвокатской палаты Санкт-Петербурга, управляющий партнёр Адвокатского Бюро ""BRight"", магистр права (Middlesex University London), сертифицированный тренер по обучению правам человека Европейской программы HELP",0,35,0,208
4065,-212786124,-212786124,11/11/2023 19:00:28,"Председатель Следственного комитета Российской Федерации доктор юридических наук, профессор Александр Иванович Бастрыкин выступил перед студентами Санкт-Петербургского государственного университета в рамках элективного курса «Розыск. Дознание. Следствие». Продолжая тему «Следствие: история и современность», Председатель СК России рассказал обучающимся о современном периоде развития следствия в нашей стране, стоящих перед ведомством задачах и условиях их полного выполнения. Во многом эффективному расследованию преступлений и сбору весомой доказательственной базы способствует высокий уровень развития криминалистического сопровождения следствия. Этой теме была посвящена основная часть выступления главы ведомства. А. И. Бастрыкин отметил, что в Следственном комитете продолжается активное развитие криминалистических подразделений. Сегодня они располагают передовым высокотехнологичным оборудованием преимущественно отечественного производства. Оно позволяет эффективно работать с различными следами преступлений и применяется, в том числе на территориях новых регионов нашей страны. Председатель СК России выделил ряд перспективных направлений развития криминалистики. В условиях, когда все больше..",0,0,0,19
42052,-133494670,-133494670,11/11/2023 19:00:00,"В Высшей школе менеджмента СПбГУ прошла открытая лекция Юлии Лудиновой, заместителя руководителя Администрации Губернатора Петербурга — начальника Проектного управления — проектного офиса Администрации Губернатора Петербурга. 
 
Во время встречи отметили роль Администрации города в реализации нацпроектов России и проектной деятельности в исполнительных органах государственной власти Северной столицы. 
 
«Проектное управление является одним из ключевых инструментов повышения эффективности государственного управления, приоритетом которого является совершенствование взаимодействия граждан, бизнеса и органов власти», — сообщила Юлия Лудинова, 
 
Важной темой лекции стали карьерные перспективы государственной гражданской службы города, а также привлечение квалифицированных молодых специалистов — выпускников ВШМ СПбГУ. 
 
Проведение таких мероприятий в вузах поможет сформировать кадровый резерв, повысить качество работы государственных органов и улучшить уровень жизни петербуржцев.
#Кронштадт #ДТП #ЧП #События #Соседи #Объявления #Помощь #Услуги #Советы",0,5,0,7087
